analysis,wavelength_nm,count
cond,400.0,5
cond,1600.0,4
cond,540.0,2
cond,579.0,2
cond,619.0,2
cond,739.0,2
cond,1340.0,2
cond,406.0,1
cond,411.0,1
cond,415.0,1
cond,432.0,1
cond,680.0,1
cond,728.0,1
cond,1347.0,1
cond,1353.0,1
cond,1383.0,1
cond,1385.0,1
cond,1506.0,1
cond,1520.0,1
cond,1530.0,1
cond,1536.0,1
cond,1539.0,1
cond,1541.0,1
cond,1580.0,1
cond,1595.0,1
cond,1620.0,1
cond,1634.0,1
cond,1639.0,1
cond,1787.0,1
cond,1819.0,1
cond,1839.0,1
cond,1900.0,1
cond,1906.0,1
cond,1907.0,1
cond,1939.0,1
cond,1959.0,1
cond,1979.0,1
gen,740.0,5
gen,580.0,2
gen,707.0,2
gen,720.0,2
gen,721.0,2
gen,1380.0,2
gen,400.0,1
gen,519.0,1
gen,522.0,1
gen,530.0,1
gen,538.0,1
gen,546.0,1
gen,551.0,1
gen,552.0,1
gen,553.0,1
gen,620.0,1
gen,640.0,1
gen,704.0,1
gen,705.0,1
gen,706.0,1
gen,712.0,1
gen,956.0,1
gen,1359.0,1
gen,1360.0,1
gen,1369.0,1
gen,1375.0,1
gen,1381.0,1
gen,1384.0,1
gen,1386.0,1
gen,1391.0,1
gen,1400.0,1
gen,1689.0,1
gen,1726.0,1
gen,1835.0,1
gen,1886.0,1
gen,2189.0,1
gen_cond,400.0,4
gen_cond,720.0,3
gen_cond,401.0,2
gen_cond,540.0,2
gen_cond,740.0,2
gen_cond,1359.0,2
gen_cond,1386.0,2
gen_cond,1600.0,2
gen_cond,1900.0,2
gen_cond,417.0,1
gen_cond,520.0,1
gen_cond,521.0,1
gen_cond,528.0,1
gen_cond,546.0,1
gen_cond,547.0,1
gen_cond,579.0,1
gen_cond,620.0,1
gen_cond,640.0,1
gen_cond,706.0,1
gen_cond,707.0,1
gen_cond,717.0,1
gen_cond,719.0,1
gen_cond,723.0,1
gen_cond,1340.0,1
gen_cond,1355.0,1
gen_cond,1374.0,1
gen_cond,1382.0,1
gen_cond,1383.0,1
gen_cond,1489.0,1
gen_cond,1510.0,1
gen_cond,1521.0,1
gen_cond,1526.0,1
gen_cond,1527.0,1
gen_cond,1540.0,1
gen_cond,1719.0,1
gen_cond,1901.0,1
gen_cond,1906.0,1
gen_cond,1959.0,1
