cluster_threshold,band,wavelength_nm,cluster_id,cluster_size
0.9,band_418,418,1,133
0.9,band_420,420,1,133
0.9,band_421,421,1,133
0.9,band_422,422,1,133
0.9,band_423,423,1,133
0.9,band_424,424,1,133
0.9,band_425,425,1,133
0.9,band_426,426,1,133
0.9,band_427,427,1,133
0.9,band_428,428,1,133
0.9,band_429,429,1,133
0.9,band_430,430,1,133
0.9,band_431,431,1,133
0.9,band_432,432,1,133
0.9,band_434,434,1,133
0.9,band_436,436,1,133
0.9,band_437,437,1,133
0.9,band_438,438,1,133
0.9,band_439,439,1,133
0.9,band_440,440,1,133
0.9,band_441,441,1,133
0.9,band_443,443,1,133
0.9,band_444,444,1,133
0.9,band_445,445,1,133
0.9,band_446,446,1,133
0.9,band_447,447,1,133
0.9,band_448,448,1,133
0.9,band_451,451,1,133
0.9,band_452,452,1,133
0.9,band_453,453,1,133
0.9,band_454,454,1,133
0.9,band_455,455,1,133
0.9,band_456,456,1,133
0.9,band_457,457,1,133
0.9,band_458,458,1,133
0.9,band_459,459,1,133
0.9,band_460,460,1,133
0.9,band_461,461,1,133
0.9,band_462,462,1,133
0.9,band_465,465,1,133
0.9,band_466,466,1,133
0.9,band_467,467,1,133
0.9,band_470,470,1,133
0.9,band_471,471,1,133
0.9,band_473,473,1,133
0.9,band_476,476,1,133
0.9,band_477,477,1,133
0.9,band_478,478,1,133
0.9,band_479,479,1,133
0.9,band_480,480,1,133
0.9,band_481,481,1,133
0.9,band_482,482,1,133
0.9,band_483,483,1,133
0.9,band_485,485,1,133
0.9,band_486,486,1,133
0.9,band_487,487,1,133
0.9,band_489,489,1,133
0.9,band_490,490,1,133
0.9,band_491,491,1,133
0.9,band_492,492,1,133
0.9,band_493,493,1,133
0.9,band_494,494,1,133
0.9,band_495,495,1,133
0.9,band_496,496,1,133
0.9,band_497,497,1,133
0.9,band_498,498,1,133
0.9,band_717,717,2,14
0.9,band_718,718,2,14
0.9,band_719,719,2,14
0.9,band_720,720,2,14
0.9,band_721,721,2,14
0.9,band_722,722,2,14
0.9,band_723,723,2,14
0.9,band_724,724,2,14
0.9,band_725,725,2,14
0.9,band_726,726,2,14
0.9,band_727,727,2,14
0.9,band_728,728,2,14
0.9,band_729,729,2,14
0.9,band_730,730,2,14
0.85,band_2444,2444,3,1
0.85,band_350,350,1,133
0.85,band_351,351,1,133
0.85,band_352,352,1,133
0.85,band_353,353,1,133
0.85,band_354,354,1,133
0.85,band_355,355,1,133
0.85,band_356,356,1,133
0.85,band_357,357,1,133
0.85,band_358,358,1,133
0.85,band_359,359,1,133
0.85,band_360,360,1,133
0.85,band_361,361,1,133
0.85,band_362,362,1,133
0.85,band_363,363,1,133
0.85,band_364,364,1,133
0.85,band_365,365,1,133
0.85,band_366,366,1,133
0.85,band_367,367,1,133
0.85,band_368,368,1,133
0.85,band_369,369,1,133
0.85,band_370,370,1,133
0.85,band_371,371,1,133
0.85,band_372,372,1,133
0.85,band_373,373,1,133
0.85,band_374,374,1,133
0.85,band_375,375,1,133
0.85,band_376,376,1,133
0.85,band_377,377,1,133
0.85,band_378,378,1,133
0.85,band_379,379,1,133
0.85,band_380,380,1,133
0.85,band_381,381,1,133
0.85,band_382,382,1,133
0.85,band_383,383,1,133
0.85,band_384,384,1,133
0.85,band_385,385,1,133
0.85,band_386,386,1,133
0.85,band_387,387,1,133
0.85,band_388,388,1,133
0.85,band_389,389,1,133
0.85,band_390,390,1,133
0.85,band_391,391,1,133
0.85,band_392,392,1,133
0.85,band_393,393,1,133
0.85,band_394,394,1,133
0.85,band_395,395,1,133
0.85,band_396,396,1,133
0.85,band_397,397,1,133
0.85,band_398,398,1,133
0.85,band_399,399,1,133
0.85,band_400,400,1,133
0.85,band_401,401,1,133
0.85,band_402,402,1,133
0.85,band_403,403,1,133
0.85,band_404,404,1,133
0.85,band_405,405,1,133
0.85,band_406,406,1,133
0.85,band_407,407,1,133
0.85,band_408,408,1,133
0.85,band_409,409,1,133
0.85,band_410,410,1,133
0.85,band_411,411,1,133
0.85,band_412,412,1,133
0.85,band_413,413,1,133
0.85,band_414,414,1,133
0.85,band_415,415,1,133
0.85,band_416,416,1,133
0.85,band_418,418,1,133
0.85,band_420,420,1,133
0.85,band_421,421,1,133
0.85,band_422,422,1,133
0.85,band_423,423,1,133
0.85,band_424,424,1,133
0.85,band_425,425,1,133
0.85,band_426,426,1,133
0.85,band_427,427,1,133
0.85,band_428,428,1,133
0.85,band_429,429,1,133
0.85,band_430,430,1,133
0.85,band_431,431,1,133
0.85,band_432,432,1,133
0.85,band_434,434,1,133
0.85,band_436,436,1,133
0.85,band_437,437,1,133
0.85,band_438,438,1,133
0.85,band_439,439,1,133
0.85,band_440,440,1,133
0.85,band_441,441,1,133
0.85,band_443,443,1,133
0.85,band_444,444,1,133
0.85,band_445,445,1,133
0.85,band_446,446,1,133
0.85,band_447,447,1,133
0.85,band_448,448,1,133
0.85,band_451,451,1,133
0.85,band_452,452,1,133
0.85,band_453,453,1,133
0.85,band_454,454,1,133
0.85,band_455,455,1,133
0.85,band_456,456,1,133
0.85,band_457,457,1,133
0.85,band_458,458,1,133
0.85,band_459,459,1,133
0.85,band_460,460,1,133
0.85,band_461,461,1,133
0.85,band_462,462,1,133
0.85,band_465,465,1,133
0.85,band_466,466,1,133
0.85,band_467,467,1,133
0.85,band_470,470,1,133
0.85,band_471,471,1,133
0.85,band_473,473,1,133
0.85,band_476,476,1,133
0.85,band_477,477,1,133
0.85,band_478,478,1,133
0.85,band_479,479,1,133
0.85,band_480,480,1,133
0.85,band_481,481,1,133
0.85,band_482,482,1,133
0.85,band_483,483,1,133
0.85,band_485,485,1,133
0.85,band_486,486,1,133
0.85,band_487,487,1,133
0.85,band_489,489,1,133
0.85,band_490,490,1,133
0.85,band_491,491,1,133
0.85,band_492,492,1,133
0.85,band_493,493,1,133
0.85,band_494,494,1,133
0.85,band_495,495,1,133
0.85,band_496,496,1,133
0.85,band_497,497,1,133
0.85,band_498,498,1,133
0.85,band_717,717,2,14
0.85,band_718,718,2,14
0.85,band_719,719,2,14
0.85,band_720,720,2,14
0.85,band_721,721,2,14
0.85,band_722,722,2,14
0.85,band_723,723,2,14
0.85,band_724,724,2,14
0.85,band_725,725,2,14
0.85,band_726,726,2,14
0.85,band_727,727,2,14
0.85,band_728,728,2,14
0.85,band_729,729,2,14
0.85,band_730,730,2,14
