interval_label,threshold,rank,region_start,region_end,wavelength,coefficient,abs_coefficient,vip,direction
thr_0p05_rank_01_763_986,0.05,1,763,986,763,0.2305018270308222,0.2305018270308222,0.9089334256500728,irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,764,0.1742107521302443,0.1742107521302443,0.832356201869788,irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,765,0.09158057280441105,0.09158057280441105,0.7543814044057525,irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,766,0.011499279559544343,0.011499279559544343,0.7135420056970355,irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,767,-0.04671175028114127,0.04671175028114127,0.7094577542101707,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,768,-0.0861506008246653,0.0861506008246653,0.7270069853196532,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,769,-0.09744808254562552,0.09744808254562552,0.735490225236651,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,770,-0.08905781331102117,0.08905781331102117,0.7324704928949191,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,771,-0.06735537246422854,0.06735537246422854,0.7236950215021791,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,772,-0.012064479870542141,0.012064479870542141,0.7090374448217776,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,773,0.04391202220724855,0.04391202220724855,0.7152973385081596,irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,774,0.07224957137930826,0.07224957137930826,0.7311444361898592,irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,775,0.0581686508217026,0.0581686508217026,0.7328480304882026,irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,776,0.00015725958276137071,0.00015725958276137071,0.7285933777503291,irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,777,-0.04527947993324857,0.04527947993324857,0.7383243319244821,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,778,-0.04616668463363463,0.04616668463363463,0.743839372938836,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,779,-0.04091003004982958,0.04091003004982958,0.7474272839456141,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,780,-0.04909992408036656,0.04909992408036656,0.7538029311471249,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,781,-0.058567701643664996,0.058567701643664996,0.7590905161738096,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,782,-0.052506466782043695,0.052506466782043695,0.7528657307416534,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,783,-0.004747716109416055,0.004747716109416055,0.7338723429874457,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,784,0.03154335101217038,0.03154335101217038,0.7283567780687993,irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,785,0.02579059805229924,0.02579059805229924,0.7245705247800407,irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,786,-0.013362376072970689,0.013362376072970689,0.7231416249495223,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,787,-0.033926447903934814,0.033926447903934814,0.727439718964848,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,788,-0.013034395099094768,0.013034395099094768,0.7219660698216439,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,789,0.015255298392994596,0.015255298392994596,0.7178881068769866,irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,790,0.0033741495313749123,0.0033741495313749123,0.7219241518955815,irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,791,-0.03690575011271897,0.03690575011271897,0.7363146119819021,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,792,-0.03965888206320534,0.03965888206320534,0.7426508439108664,nao_irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,793,0.009130485389505442,0.009130485389505442,0.7389027027892958,irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,794,0.04743496317313016,0.04743496317313016,0.7421582597048605,irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,795,0.02957112628953104,0.02957112628953104,0.7283902352026467,irrigado
thr_0p05_rank_01_763_986,0.05,1,763,986,796,-0.02847414040014789,0.02847414040014789,0.7290921090878689,nao_irrigado
