analysis,family_nm,count
cond,400,5
cond,1600,5
cond,1540,3
cond,410,2
cond,540,2
cond,580,2
cond,620,2
cond,740,2
cond,1340,2
cond,1350,2
cond,1380,2
cond,1520,2
cond,1910,2
cond,420,1
cond,430,1
cond,680,1
cond,730,1
cond,1510,1
cond,1530,1
cond,1580,1
cond,1620,1
cond,1630,1
cond,1640,1
cond,1790,1
cond,1820,1
cond,1840,1
cond,1900,1
cond,1940,1
cond,1960,1
cond,1980,1
gen,1380,7
gen,740,5
gen,550,4
gen,710,4
gen,720,4
gen,520,2
gen,580,2
gen,700,2
gen,1360,2
gen,1390,2
gen,1840,2
gen,400,1
gen,530,1
gen,540,1
gen,620,1
gen,640,1
gen,960,1
gen,1370,1
gen,1400,1
gen,1690,1
gen,1730,1
gen,1890,1
gen,2190,1
gen_cond,400,6
gen_cond,720,6
gen_cond,1360,3
gen_cond,1900,3
gen_cond,520,2
gen_cond,540,2
gen_cond,550,2
gen_cond,710,2
gen_cond,740,2
gen_cond,1380,2
gen_cond,1390,2
gen_cond,1530,2
gen_cond,1600,2
gen_cond,420,1
gen_cond,530,1
gen_cond,580,1
gen_cond,620,1
gen_cond,640,1
gen_cond,1340,1
gen_cond,1370,1
gen_cond,1490,1
gen_cond,1510,1
gen_cond,1520,1
gen_cond,1540,1
gen_cond,1720,1
gen_cond,1910,1
gen_cond,1960,1
